#Down SWR Down LWR Precipit  Air Tem  Windspe Pressure Spec Hum
#W m-2 W m-2 Kg m-2 s-1 K m s-1 Pa kg kg
 146.7 257.7 0.00E+00 274.38  2.26  99780 0.00224
  64.0 249.4 0.00E+00 273.90  1.80  99770 0.00242
   0.7 240.6 0.00E+00 272.00  1.59  99760 0.00249
  -0.9 234.4 0.00E+00 270.65  1.44  99780 0.00249
  -0.2 225.3 0.00E+00 269.75  1.59  99810 0.00238
  -0.6 236.6 0.00E+00 269.62  1.24  99830 0.00237
  -0.2 238.4 0.00E+00 269.51  1.63  99870 0.00233
  -0.2 298.3 0.00E+00 270.56  1.86  99840 0.00265
  -0.2 297.5 0.00E+00 271.66  2.28  99780 0.00272
  -0.3 252.0 0.00E+00 271.32  2.01  99750 0.00257
  -0.2 298.4 0.00E+00 271.81  2.27  99720 0.00264
  -0.2 299.1 0.00E+00 272.47  2.81  99680 0.00263
  -0.2 277.3 0.00E+00 272.19  2.06  99650 0.00266
  -0.2 275.4 0.00E+00 271.24  1.47  99660 0.00266
  -0.2 292.2 0.00E+00 271.88  1.76  99650 0.00278
  -0.2 243.8 0.00E+00 270.84  1.79  99620 0.00275
  44.0 232.4 0.00E+00 270.23  1.72  99600 0.00271
 187.2 237.8 0.00E+00 273.36  3.34  99570 0.00292
 293.0 251.1 0.00E+00 275.12  4.54  99540 0.00293
 381.9 268.7 0.00E+00 276.85  4.71  99460 0.00305
 449.5 270.4 0.00E+00 278.57  4.66  99350 0.00329
 443.2 297.0 0.00E+00 280.48  4.95  99190 0.00365
 399.6 286.2 0.00E+00 281.04  5.31  99090 0.00410
 295.8 291.8 0.00E+00 281.15  5.15  98970 0.00452
  90.2 333.6 0.00E+00 280.87  4.49  98910 0.00455
  19.1 334.1 0.00E+00 280.60  2.74  98850 0.00467
   0.3 333.1 0.00E+00 280.23  1.99  98780 0.00481
   0.0 331.6 0.00E+00 280.31  3.22  98730 0.00469
   0.0 332.6 0.00E+00 280.05  3.04  98710 0.00439
   0.0 331.6 0.00E+00 279.88  3.08  98690 0.00440
   0.0 332.3 0.00E+00 279.98  3.95  98650 0.00442
   0.0 331.6 0.00E+00 279.82  3.78  98610 0.00443
   0.0 331.6 0.00E+00 279.84  4.05  98530 0.00449
   0.0 331.6 0.00E+00 279.86  4.17  98460 0.00455
   0.0 333.0 0.00E+00 280.13  3.94  98380 0.00460
   0.0 332.8 0.00E+00 280.06  3.61  98340 0.00470
   0.0 330.9 0.00E+00 279.67  4.48  98250 0.00477
   0.0 331.4 0.00E+00 279.48  4.26  98200 0.00492
   0.0 334.7 0.00E+00 279.43  3.22  98150 0.00517
   0.0 335.1 0.00E+00 279.55  3.15  98070 0.00573
   8.8 337.9 0.00E+00 279.27  3.04  98020 0.00598
  25.1 339.7 0.00E+00 279.49  2.71  98010 0.00607
  39.4 343.4 0.00E+00 280.20  3.19  97960 0.00638
  57.0 347.0 0.00E+00 280.84  3.90  97870 0.00667
  88.5 347.6 0.00E+00 281.54  4.14  97800 0.00700
 107.4 349.0 0.00E+00 282.15  4.09  97670 0.00722
  90.6 349.1 0.00E+00 282.78  4.25  97550 0.00734
  70.6 350.6 0.00E+00 283.00  3.64  97490 0.00747
  62.1 353.3 0.00E+00 283.42  3.48  97440 0.00767
  15.5 355.7 0.00E+00 283.55  3.22  97400 0.00772
   0.5 354.0 0.00E+00 283.47  3.06  97400 0.00777
   0.0 348.4 0.00E+00 283.23  2.15  97440 0.00775
  -0.7 325.8 0.00E+00 282.86  2.35  97440 0.00764
  -0.8 299.3 0.00E+00 280.47  1.21  97450 0.00653
   0.0 306.4 0.00E+00 278.53  0.95  97500 0.00571
   0.0 325.9 0.00E+00 278.64  1.23  97530 0.00575
   0.0 332.2 0.00E+00 279.61  2.22  97510 0.00616
   0.0 339.0 0.00E+00 281.03  2.45  97450 0.00679
   0.0 338.7 0.00E+00 281.23  1.72  97460 0.00688
   0.0 335.8 0.00E+00 280.31  1.02  97500 0.00646
   0.0 334.1 0.00E+00 280.04  0.95  97470 0.00634
   0.0 332.8 0.00E+00 280.04  0.83  97450 0.00634
  -0.7 309.1 0.00E+00 279.55  1.27  97500 0.00609
  -0.9 270.3 0.00E+00 278.35  1.16  97570 0.00560
  14.8 284.8 0.00E+00 276.98  0.81  97590 0.00512
  97.4 290.6 0.00E+00 276.89  0.74  97600 0.00509
 170.5 290.4 0.00E+00 279.73  1.56  97550 0.00585
 286.3 300.4 0.00E+00 281.92  1.46  97520 0.00594
 342.0 304.2 0.00E+00 284.69  1.50  97460 0.00590
 459.5 290.8 0.00E+00 287.24  2.56  97380 0.00544
 430.6 285.5 0.00E+00 288.80  2.95  97300 0.00518
 387.1 280.7 0.00E+00 289.51  3.59  97220 0.00503
 236.3 280.3 0.00E+00 289.24  3.15  97190 0.00550
  74.5 280.8 0.00E+00 288.01  1.96  97170 0.00556
   0.3 280.4 0.00E+00 285.69  2.34  97200 0.00535
  -1.8 273.0 0.00E+00 281.56  1.48  97220 0.00525
  -0.6 270.7 0.00E+00 279.95  1.94  97210 0.00496
  -0.3 270.1 0.00E+00 280.07  2.20  97200 0.00495
  -0.3 270.2 0.00E+00 279.87  1.33  97190 0.00473
   0.0 271.2 0.00E+00 279.98  2.04  97210 0.00469
   0.0 266.7 0.00E+00 279.31  2.58  97200 0.00463
   0.0 262.1 0.00E+00 279.86  3.08  97200 0.00464
   0.0 260.2 0.00E+00 279.41  2.86  97220 0.00443
   0.0 260.6 0.00E+00 279.39  2.66  97250 0.00424
   0.0 258.1 0.00E+00 279.77  3.08  97270 0.00420
   0.0 253.6 0.00E+00 277.47  2.46  97380 0.00398
   0.0 256.0 0.00E+00 278.80  4.31  97550 0.00428
   0.0 255.9 0.00E+00 278.77  4.33  97690 0.00437
  40.2 247.7 0.00E+00 279.08  4.29  97830 0.00447
 193.5 244.3 0.00E+00 280.52  9.04  97980 0.00438
 350.4 235.5 0.00E+00 279.18 13.04  98220 0.00354
 486.2 237.3 0.00E+00 279.49 13.06  98420 0.00333
 558.3 240.4 0.00E+00 279.94 11.89  98570 0.00323
 570.5 239.7 0.00E+00 280.15 10.96  98680 0.00311
 519.5 238.8 0.00E+00 280.63  9.26  98720 0.00288
 409.6 234.2 0.00E+00 280.82  8.89  98780 0.00247
 256.7 229.6 0.00E+00 280.33  7.84  98860 0.00226
  79.9 228.9 0.00E+00 279.08  5.30  98960 0.00239
  -0.3 223.6 0.00E+00 275.68  3.15  99060 0.00244
  -0.3 223.8 0.00E+00 272.52  2.20  99180 0.00234
  -0.3 222.9 0.00E+00 271.66  2.54  99220 0.00236
  -0.4 219.4 0.00E+00 270.91  2.36  99260 0.00238
  -0.6 219.6 0.00E+00 269.84  1.96  99280 0.00233
  -0.6 220.3 0.00E+00 269.07  1.75  99360 0.00228
  -0.6 221.4 0.00E+00 269.64  1.89  99410 0.00229
  -0.2 221.6 0.00E+00 269.16  1.37  99460 0.00234
  -0.2 222.8 0.00E+00 268.61  1.64  99490 0.00228
  -0.6 219.0 0.00E+00 268.35  1.10  99570 0.00231
  -0.2 218.8 0.00E+00 269.65  2.75  99570 0.00250
  -0.2 218.0 0.00E+00 270.27  2.77  99610 0.00260
  -0.2 219.4 0.00E+00 268.80  1.74  99660 0.00245
  -0.1 225.6 0.00E+00 267.75  1.42  99700 0.00237
  27.9 230.3 0.00E+00 267.51  1.02  99710 0.00236
 158.8 233.7 0.00E+00 270.61  0.86  99710 0.00283
 219.1 243.0 0.00E+00 273.90  0.55  99650 0.00311
 307.4 244.3 0.00E+00 275.55  1.50  99660 0.00333
 324.7 251.6 0.00E+00 277.07  2.26  99610 0.00332
 393.6 257.3 0.00E+00 278.97  2.98  99460 0.00335
 308.5 257.8 0.00E+00 279.95  3.58  99340 0.00330
 218.1 260.4 0.00E+00 280.36  4.29  99260 0.00333
 127.5 278.5 0.00E+00 280.65  3.67  99190 0.00346
  35.3 279.0 0.00E+00 279.81  3.04  99080 0.00342
   0.0 263.9 0.00E+00 277.18  2.34  99000 0.00345
   0.0 267.1 0.00E+00 275.77  2.06  98950 0.00344
   0.0 264.1 0.00E+00 275.04  2.21  98890 0.00347
   0.0 268.8 0.00E+00 275.98  3.40  98790 0.00370
   0.0 269.7 0.00E+00 275.73  2.56  98730 0.00370
   0.0 263.9 0.00E+00 275.04  2.16  98690 0.00356
   0.0 291.0 0.00E+00 276.55  2.61  98620 0.00359
   0.0 319.5 0.00E+00 278.79  3.73  98530 0.00371
   0.0 329.0 0.00E+00 279.81  5.14  98450 0.00371
   0.4 331.7 7.06E-05 279.18  4.32  98370 0.00420
   2.1 328.1 0.00E+00 278.61  4.91  98260 0.00432
   0.0 327.4 0.00E+00 278.95  5.96  98150 0.00422
   0.0 327.9 0.00E+00 279.11  5.97  98070 0.00396
   0.0 322.8 0.00E+00 279.16  6.45  97990 0.00375
  14.7 308.9 0.00E+00 279.08  6.10  97940 0.00378
  56.2 319.4 0.00E+00 279.24  6.47  97900 0.00388
 107.6 322.6 0.00E+00 279.77  6.98  97850 0.00368
 169.7 318.3 0.00E+00 280.48  7.29  97760 0.00376
 337.9 284.6 0.00E+00 281.62  7.65  97630 0.00411
 520.7 286.1 0.00E+00 283.11  7.29  97510 0.00447
 477.5 269.4 0.00E+00 283.71  6.92  97390 0.00473
 373.6 265.1 0.00E+00 284.14  5.87  97290 0.00492
 225.2 265.3 0.00E+00 284.17  5.30  97270 0.00506
  66.2 266.2 0.00E+00 283.06  3.97  97260 0.00513
  -0.6 265.5 0.00E+00 279.61  2.14  97270 0.00483
  -0.2 264.1 0.00E+00 278.31  2.43  97270 0.00478
  -0.7 261.2 0.00E+00 277.91  2.63  97290 0.00480
  -0.1 284.6 0.00E+00 277.84  2.17  97290 0.00493
  -0.4 282.7 0.00E+00 278.03  2.17  97260 0.00506
  -0.1 275.8 0.00E+00 277.23  2.20  97240 0.00503
  -0.1 280.7 0.00E+00 279.19  2.31  97230 0.00555
  -0.4 261.3 0.00E+00 278.65  2.95  97220 0.00551
  -0.4 260.2 0.00E+00 277.96  2.65  97180 0.00542
   0.0 268.3 0.00E+00 276.98  2.18  97200 0.00514
   0.0 294.4 0.00E+00 276.82  2.26  97180 0.00509
   0.0 259.5 0.00E+00 276.55  2.62  97200 0.00499
   0.0 284.1 0.00E+00 276.15  2.24  97230 0.00485
   0.0 255.1 0.00E+00 275.46  1.95  97250 0.00462
  36.3 255.6 0.00E+00 274.26  1.48  97320 0.00423
 148.8 250.7 0.00E+00 275.93  2.06  97330 0.00463
 324.1 257.3 0.00E+00 279.24  2.52  97340 0.00518
 445.8 264.9 0.00E+00 281.64  3.55  97340 0.00559
 518.6 266.9 0.00E+00 283.31  3.82  97300 0.00562
 384.9 298.2 0.00E+00 283.96  3.58  97280 0.00557
 176.0 337.9 0.00E+00 283.56  3.53  97280 0.00563
 127.2 333.7 0.00E+00 283.37  2.96  97290 0.00562
  46.0 338.7 0.00E+00 283.04  2.23  97350 0.00566
  14.6 335.5 0.00E+00 282.53  1.54  97400 0.00566
   0.2 333.2 0.00E+00 281.89  1.85  97460 0.00568
   0.0 334.3 0.00E+00 281.12  1.03  97510 0.00564
   0.0 328.2 0.00E+00 280.30  0.88  97530 0.00558
   0.0 329.9 0.00E+00 279.78  0.53  97540 0.00552
  -0.9 296.6 0.00E+00 278.99  1.19  97600 0.00540
  -1.4 259.9 0.00E+00 276.21  1.11  97670 0.00479
   0.0 281.4 0.00E+00 275.84  1.27  97710 0.00472
   0.0 290.6 0.00E+00 273.98  1.11  97760 0.00413
  -0.2 292.6 0.00E+00 272.84  1.36  97810 0.00380
  -0.1 295.1 0.00E+00 271.43  0.95  97850 0.00343
  -0.1 298.5 0.00E+00 269.96  1.26  97890 0.00307
  -0.1 299.0 0.00E+00 270.73  1.20  97900 0.00325
  -0.2 296.5 0.00E+00 270.04  0.57  97940 0.00309
  -0.1 292.6 0.00E+00 268.93  1.00  98000 0.00284
  34.7 293.4 0.00E+00 269.23  1.35  98010 0.00290
 165.9 301.6 0.00E+00 272.00  0.82  98010 0.00357
 302.4 309.7 0.00E+00 275.65  0.95  98010 0.00464
 443.5 283.4 0.00E+00 279.50  1.88  97970 0.00586
 513.7 264.9 0.00E+00 282.55  2.83  97910 0.00588
 522.9 273.1 0.00E+00 285.53  3.15  97870 0.00592
 481.4 279.7 0.00E+00 287.63  3.61  97770 0.00586
 367.7 279.1 0.00E+00 288.31  3.92  97710 0.00562
 219.9 279.5 0.00E+00 288.35  3.88  97700 0.00575
  60.9 276.8 0.00E+00 286.53  2.77  97670 0.00601
  -2.7 273.5 0.00E+00 281.68  2.20  97660 0.00539
  -2.4 270.1 0.00E+00 279.95  1.85  97660 0.00520
  -2.2 269.7 0.00E+00 279.39  1.46  97610 0.00515
  -0.7 269.8 0.00E+00 279.42  2.16  97590 0.00515
  -1.2 272.2 0.00E+00 280.64  2.64  97570 0.00563
  -3.2 268.4 0.00E+00 281.41  3.38  97510 0.00576
  -3.9 266.4 0.00E+00 280.12  2.76  97450 0.00551
  -1.0 278.8 0.00E+00 280.48  3.49  97380 0.00561
  -0.5 302.9 0.00E+00 281.53  4.72  97260 0.00600
   0.6 330.4 0.00E+00 282.33  5.16  97140 0.00664
  -1.4 314.9 0.00E+00 282.97  5.47  97010 0.00709
   0.5 349.3 4.94E-04 282.78  5.33  96870 0.00719
   3.2 360.1 0.00E+00 283.16  5.20  96800 0.00757
   2.0 359.2 0.00E+00 283.97  5.56  96730 0.00806
   3.8 364.2 0.00E+00 285.02  6.40  96670 0.00870
  22.6 367.7 0.00E+00 285.73  5.01  96640 0.00918
  22.6 369.1 0.00E+00 286.10  4.79  96650 0.00951
  30.0 370.4 0.00E+00 286.30  3.58  96680 0.00972
  41.0 373.8 7.06E-05 286.50  3.77  96580 0.00986
  75.4 375.3 0.00E+00 286.54  4.69  96460 0.00990
 175.2 364.7 0.00E+00 287.72  5.51  96330 0.01070
 144.1 366.6 0.00E+00 288.47  5.40  96250 0.01124
  76.3 361.9 2.82E-04 288.56  4.22  96170 0.01132
  57.5 373.3 0.00E+00 287.99  3.28  96150 0.01091
   4.2 361.4 0.00E+00 287.46  2.86  96160 0.01054
   1.3 361.4 0.00E+00 285.66  1.60  96170 0.00937
   0.1 363.9 1.41E-03 284.85  1.61  96180 0.00889
   0.3 366.1 5.64E-04 284.76  1.49  96250 0.00883
  -1.0 358.5 0.00E+00 284.00  1.25  96290 0.00839
  -1.4 346.1 0.00E+00 281.43  1.31  96300 0.00706
   0.0 347.3 0.00E+00 280.94  1.38  96370 0.00682
   0.1 352.3 7.06E-05 282.24  3.34  96390 0.00745
  -0.6 324.5 0.00E+00 282.27  4.28  96440 0.00746
   4.9 308.1 0.00E+00 280.82  5.42  96560 0.00675
   4.5 317.6 0.00E+00 280.27  4.98  96680 0.00650
   1.0 298.4 0.00E+00 279.27  4.56  96780 0.00606
  -0.1 288.6 0.00E+00 278.67  4.97  96870 0.00581
   0.0 280.3 0.00E+00 278.36  5.22  96940 0.00568
  22.9 268.3 0.00E+00 277.82  4.11  97050 0.00546
 119.6 251.5 0.00E+00 278.51  4.36  97130 0.00573
 334.5 250.1 0.00E+00 281.24  6.78  97170 0.00668
 449.0 255.2 0.00E+00 283.43  7.03  97240 0.00729
 521.9 258.7 0.00E+00 284.20  6.56  97220 0.00560
 536.6 264.9 0.00E+00 285.85  6.53  97180 0.00478
 488.9 261.5 0.00E+00 286.67  6.98  97130 0.00440
 382.6 262.0 0.00E+00 286.76  7.32  97150 0.00409
 233.7 261.2 0.00E+00 286.54  7.20  97170 0.00352
  68.3 253.4 0.00E+00 284.87  4.60  97250 0.00334
  -0.2 248.8 0.00E+00 279.85  1.93  97360 0.00336
  -0.2 247.0 0.00E+00 277.21  1.25  97450 0.00317
   0.0 245.5 0.00E+00 276.73  1.64  97500 0.00317
  -0.2 244.7 0.00E+00 274.69  1.52  97570 0.00324
   0.0 244.7 0.00E+00 274.52  1.13  97630 0.00326
   0.0 243.8 0.00E+00 273.72  1.08  97690 0.00313
  -0.1 246.8 0.00E+00 274.18  2.15  97700 0.00311
   0.0 248.1 0.00E+00 274.25  2.21  97700 0.00321
   0.0 252.5 0.00E+00 274.57  2.05  97710 0.00308
   0.0 253.6 0.00E+00 274.71  2.02  97730 0.00313
  -0.1 254.3 0.00E+00 274.87  1.52  97720 0.00314
   0.0 255.5 0.00E+00 275.87  2.64  97700 0.00338
   0.0 256.8 0.00E+00 276.08  2.75  97720 0.00358
   0.0 259.3 0.00E+00 276.13  2.74  97740 0.00371
  27.9 258.7 0.00E+00 276.45  2.59  97780 0.00381
 166.2 260.5 0.00E+00 280.17  3.42  97810 0.00437
 319.6 268.0 0.00E+00 284.49  4.03  97850 0.00473
 438.3 281.5 0.00E+00 288.84  3.55  97860 0.00456
 506.4 287.5 0.00E+00 290.97  3.49  97820 0.00443
 517.9 292.6 0.00E+00 292.50  3.50  97710 0.00437
 473.1 297.3 0.00E+00 293.80  4.03  97620 0.00445
 353.8 304.1 0.00E+00 294.31  3.92  97550 0.00451
 237.0 301.3 0.00E+00 294.29  4.08  97510 0.00464
  64.8 293.1 0.00E+00 291.64  2.61  97480 0.00529
  -2.9 287.8 0.00E+00 286.72  2.11  97470 0.00537
  -0.9 281.7 0.00E+00 284.96  2.10  97460 0.00511
   0.0 278.0 0.00E+00 283.66  2.75  97420 0.00514
  -0.2 273.4 0.00E+00 282.97  2.82  97350 0.00525
   0.0 273.5 0.00E+00 284.15  3.64  97290 0.00513
  -0.5 268.5 0.00E+00 282.84  3.25  97210 0.00495
   0.0 265.8 0.00E+00 282.63  3.15  97150 0.00464
   0.0 270.8 0.00E+00 284.02  3.98  97060 0.00430
   0.0 270.2 0.00E+00 284.28  4.72  97000 0.00412
  -0.1 266.8 0.00E+00 283.80  3.78  96950 0.00404
  -0.4 264.2 0.00E+00 282.81  3.05  96900 0.00401
   0.0 259.1 0.00E+00 281.84  2.13  96890 0.00395
   0.0 263.5 0.00E+00 282.46  4.38  96820 0.00400
   0.0 260.8 0.00E+00 281.91  3.91  96830 0.00400
  31.8 259.0 0.00E+00 281.39  4.60  96830 0.00407
 181.7 256.9 0.00E+00 282.94  4.54  96830 0.00421
 328.1 263.9 0.00E+00 285.34  4.82  96830 0.00433
 445.9 271.5 0.00E+00 288.38  4.21  96800 0.00446
 519.2 285.2 0.00E+00 291.67  4.41  96750 0.00438
 533.7 294.6 0.00E+00 294.43  3.28  96690 0.00444
 478.9 300.1 0.00E+00 296.58  2.10  96670 0.00349
 355.4 297.5 0.00E+00 296.30  2.77  96710 0.00352
 194.3 294.5 0.00E+00 293.78  4.70  96800 0.00411
  41.3 286.6 0.00E+00 289.21  4.96  96920 0.00455
  -1.1 283.1 0.00E+00 286.59  5.16  97060 0.00464
  -0.3 274.6 0.00E+00 284.37  6.33  97230 0.00462
   0.0 271.6 0.00E+00 282.30  5.91  97370 0.00475
   0.0 268.9 0.00E+00 280.66  5.72  97500 0.00464
   0.0 269.7 0.00E+00 279.52  6.60  97650 0.00414
   0.0 262.3 0.00E+00 278.37  6.14  97730 0.00375
   0.0 274.0 0.00E+00 277.59  5.95  97820 0.00349
   0.0 276.7 0.00E+00 276.97  6.42  97880 0.00334
   0.0 262.1 0.00E+00 276.00  5.75  97930 0.00329
   0.0 270.1 0.00E+00 275.18  5.91  97950 0.00325
   0.0 269.7 0.00E+00 274.63  5.74  98020 0.00326
   0.0 255.9 0.00E+00 273.88  5.32  98070 0.00322
   0.0 257.4 0.00E+00 273.01  4.45  98090 0.00307
  -0.1 238.3 0.00E+00 272.07  4.57  98070 0.00291
  13.3 238.9 0.00E+00 271.53  3.91  98050 0.00286
  76.0 231.4 0.00E+00 271.80  3.81  98060 0.00293
 194.7 229.0 0.00E+00 273.21  4.54  98040 0.00303
 406.2 235.0 0.00E+00 275.64  5.42  97980 0.00311
 523.7 253.9 0.00E+00 277.72  6.07  97850 0.00306
 402.9 249.0 0.00E+00 278.41  6.20  97710 0.00293
 303.6 268.4 0.00E+00 278.75  6.47  97570 0.00281
 289.3 250.5 0.00E+00 279.66  6.95  97480 0.00270
 130.4 277.9 0.00E+00 279.00  6.13  97480 0.00276
  13.6 316.6 0.00E+00 278.14  5.58  97500 0.00282
   0.0 315.4 0.00E+00 277.51  5.18  97570 0.00284
   0.0 313.3 0.00E+00 277.03  4.72  97580 0.00289
   0.0 314.9 0.00E+00 276.71  5.28  97590 0.00286
   0.0 311.2 0.00E+00 276.51  4.21  97630 0.00288
   0.0 310.5 0.00E+00 276.27  3.43  97630 0.00296
   0.0 310.8 0.00E+00 275.79  3.73  97620 0.00310
   0.0 310.2 0.00E+00 275.43  3.86  97620 0.00309
   0.0 309.1 0.00E+00 275.12  3.68  97560 0.00310
   0.0 307.9 0.00E+00 274.88  3.66  97580 0.00309
   0.0 306.2 0.00E+00 274.50  4.43  97560 0.00311
   0.0 304.3 0.00E+00 274.08  4.32  97540 0.00310
   0.0 302.8 0.00E+00 273.76  3.82  97550 0.00312
   0.0 302.3 0.00E+00 273.67  4.37  97500 0.00312
   0.0 301.6 0.00E+00 273.52  3.94  97480 0.00310
   1.8 302.0 0.00E+00 273.60  2.81  97490 0.00310
  14.4 303.2 0.00E+00 273.83  2.84  97490 0.00310
  32.7 304.3 0.00E+00 273.99  3.19  97470 0.00310
  47.2 305.6 0.00E+00 274.22  3.36  97430 0.00313
  65.7 307.5 0.00E+00 274.52  3.40  97370 0.00320
  73.2 308.4 0.00E+00 274.69  3.77  97250 0.00329
  51.2 307.0 0.00E+00 274.57  3.94  97180 0.00344
  37.8 305.2 0.00E+00 274.15  4.34  97130 0.00361
  14.2 303.8 0.00E+00 273.65  3.96  97130 0.00383
   3.9 307.9 0.00E+00 273.15  3.88  97110 0.00391
   0.0 308.9 0.00E+00 272.99  3.93  97100 0.00387
   0.0 309.0 0.00E+00 273.02  3.17  97210 0.00387
   0.0 309.4 0.00E+00 273.04  3.15  97240 0.00388
   0.0 309.2 0.00E+00 273.05  3.33  97180 0.00388
   0.0 309.1 0.00E+00 273.07  3.55  97100 0.00389
   0.0 309.3 0.00E+00 273.12  3.78  97080 0.00391
   0.0 309.3 0.00E+00 273.10  4.34  96870 0.00391
   0.0 309.2 0.00E+00 273.04  3.90  96990 0.00389
   0.0 308.0 0.00E+00 272.78  4.01  97000 0.00382
   0.0 306.2 0.00E+00 272.38  5.48  97000 0.00371
   0.0 304.5 0.00E+00 272.05  5.98  97010 0.00362
   0.0 303.6 0.00E+00 271.82  6.22  97010 0.00356
   0.0 301.2 0.00E+00 271.37  7.18  97050 0.00335
   0.0 292.4 0.00E+00 270.34  7.78  97170 0.00302
   7.8 273.3 0.00E+00 269.34  7.94  97280 0.00274
  87.4 264.0 0.00E+00 268.11  7.70  97400 0.00247
 281.6 213.2 0.00E+00 268.13  8.64  97510 0.00232
 292.3 254.2 0.00E+00 267.90  9.32  97630 0.00226
 276.8 268.7 0.00E+00 267.89  9.24  97690 0.00226
 233.2 274.2 0.00E+00 268.01  8.67  97720 0.00228
 220.4 272.6 0.00E+00 268.22  8.84  97780 0.00224
 164.2 268.4 0.00E+00 267.91  9.19  97850 0.00219
  82.1 268.5 0.00E+00 267.65  8.20  97950 0.00217
  17.1 265.6 0.00E+00 267.11  7.91  98060 0.00207
  -0.1 261.8 0.00E+00 266.90  7.50  98140 0.00211
  -0.2 237.9 0.00E+00 265.97  6.69  98200 0.00196
  -0.2 198.8 0.00E+00 264.84  6.65  98260 0.00179
  -0.2 190.6 0.00E+00 264.07  6.77  98310 0.00169
  -0.2 191.2 0.00E+00 263.70  6.53  98350 0.00163
  -0.2 192.1 0.00E+00 263.51  6.29  98370 0.00161
  -0.2 191.2 0.00E+00 263.07  5.93  98410 0.00156
  -0.2 189.3 0.00E+00 262.60  3.86  98420 0.00150
  -0.2 187.9 0.00E+00 262.28  5.45  98430 0.00145
  -0.2 186.6 0.00E+00 261.94  5.08  98450 0.00141
  -0.2 185.7 0.00E+00 261.75  4.05  98490 0.00137
  -0.2 184.1 0.00E+00 261.44  3.08  98500 0.00134
  -0.2 184.4 0.00E+00 261.47  4.19  98490 0.00134
  -0.4 181.4 0.00E+00 260.64  2.41  98540 0.00129
  20.7 181.3 0.00E+00 260.03  1.63  98580 0.00125
 155.1 182.1 0.00E+00 262.56  3.04  98520 0.00138
 315.6 182.1 0.00E+00 264.74  3.53  98500 0.00148
 443.0 187.2 0.00E+00 266.97  3.91  98430 0.00162
 512.7 195.8 0.00E+00 269.47  3.48  98300 0.00176
 520.3 203.0 0.00E+00 271.75  3.64  98140 0.00187
 469.6 210.7 0.00E+00 273.17  4.51  97960 0.00199
 353.8 220.8 0.00E+00 274.31  4.75  97800 0.00200
 131.0 242.7 0.00E+00 273.74  4.60  97710 0.00226
  22.1 256.6 0.00E+00 273.06  4.46  97640 0.00241
  -0.2 255.8 0.00E+00 272.29  4.08  97570 0.00249
  -0.2 260.4 0.00E+00 272.29  4.28  97510 0.00253
  -0.2 257.4 0.00E+00 272.01  3.70  97450 0.00251
  -0.2 262.0 0.00E+00 271.90  3.98  97340 0.00251
  -0.2 256.6 0.00E+00 272.14  4.49  97260 0.00250
  -0.2 260.4 0.00E+00 272.85  4.30  97150 0.00245
  -0.2 246.5 0.00E+00 272.80  4.66  97120 0.00241
  -0.2 228.3 0.00E+00 272.10  5.45  97040 0.00241
  -0.2 231.0 0.00E+00 271.62  4.93  96980 0.00243
  -0.2 253.0 0.00E+00 272.19  4.57  96950 0.00246
  -0.2 247.2 0.00E+00 273.12  4.54  96960 0.00234
  -0.2 248.4 0.00E+00 271.84  2.00  96980 0.00237
  -0.2 260.7 0.00E+00 271.48  1.79  97010 0.00240
  -0.2 257.1 0.00E+00 271.08  0.90  97030 0.00243
  15.8 246.5 0.00E+00 270.30  1.09  97090 0.00242
  77.3 259.1 0.00E+00 271.41  1.78  97140 0.00259
 156.7 262.3 0.00E+00 273.52  2.05  97140 0.00271
 240.9 246.8 0.00E+00 275.43  1.62  97150 0.00294
 399.8 265.4 0.00E+00 278.99  3.27  97120 0.00330
 406.3 271.2 0.00E+00 280.20  4.07  97040 0.00303
 383.4 263.2 0.00E+00 280.80  3.21  97010 0.00297
 275.3 254.1 0.00E+00 280.91  2.58  97010 0.00284
 137.8 262.9 0.00E+00 279.82  2.06  97070 0.00262
  33.0 253.2 0.00E+00 278.04  1.31  97150 0.00273
   0.0 249.4 0.00E+00 276.03  1.34  97170 0.00273
  -1.2 245.3 0.00E+00 272.68  0.73  97220 0.00267
  -0.2 229.5 0.00E+00 271.34  1.01  97290 0.00266
  -0.2 229.6 0.00E+00 270.81  0.57  97320 0.00263
  -0.2 226.9 0.00E+00 269.50  0.63  97360 0.00256
  -0.2 227.9 0.00E+00 268.30  0.53  97400 0.00248
  -0.1 226.7 0.00E+00 267.71  0.82  97420 0.00249
  -0.2 227.2 0.00E+00 267.28  0.43  97400 0.00245
  -0.1 234.6 0.00E+00 266.33  0.47  97350 0.00231
  -0.1 259.3 0.00E+00 266.62  0.64  97350 0.00235
   0.0 280.2 0.00E+00 267.97  0.55  97280 0.00261
  -0.1 286.7 0.00E+00 270.16  1.79  97210 0.00304
   0.1 293.5 0.00E+00 271.72  4.05  97130 0.00321
   0.0 293.9 0.00E+00 272.15  1.32  97180 0.00319
   4.1 287.5 0.00E+00 272.39  1.48  97210 0.00320
  34.6 290.7 0.00E+00 273.28  2.10  97240 0.00324
 104.0 289.3 0.00E+00 274.14  2.38  97210 0.00337
 188.9 281.8 0.00E+00 275.87  2.60  97220 0.00342
 376.5 265.1 0.00E+00 277.60  2.21  97160 0.00346
 426.8 262.3 0.00E+00 278.95  3.19  97050 0.00349
 409.2 247.0 0.00E+00 280.02  2.88  96980 0.00361
