         714726006 function calls (713117625 primitive calls) in 3883.978 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1052    0.007    0.000    0.066    0.000 markers.py:690(_set_tickright)
     1052    0.007    0.000    0.066    0.000 markers.py:684(_set_tickleft)
      822    0.065    0.000    0.065    0.000 {method 'close' of 'file' objects}
     4654    0.025    0.000    0.062    0.000 artist.py:841(update)
     2028    0.003    0.000    0.062    0.000 lines.py:680(_get_transformed_path)
        1    0.047    0.047    0.061    0.061 config.py:1(<module>)
       44    0.000    0.000    0.061    0.001 font_manager.py:1425(findfont)
       44    0.006    0.000    0.061    0.001 font_manager.py:1219(findfont)
   208552    0.060    0.000    0.060    0.000 {method 'startswith' of 'unicode' objects}
        1    0.035    0.035    0.060    0.060 httplib.py:67(<module>)
       69    0.000    0.000    0.060    0.001 pkg_resources.py:1212(get_metadata_lines)
       69    0.000    0.000    0.060    0.001 pkg_resources.py:1202(get_metadata)
     5847    0.046    0.000    0.060    0.000 twodim_base.py:192(eye)
        2    0.013    0.007    0.059    0.030 __init__.py:45(<module>)
       69    0.000    0.000    0.059    0.001 pkg_resources.py:1319(_get)
     2010    0.006    0.000    0.059    0.000 lines.py:666(_transform_path)
       54    0.001    0.000    0.058    0.001 backend_agg.py:478(get_renderer)
        1    0.016    0.016    0.058    0.058 __init__.py:108(<module>)
     1328    0.002    0.000    0.057    0.000 backend_agg.py:122(draw_markers)
 1757/157    0.021    0.000    0.056    0.000 sre_compile.py:32(_compile)
       18    0.008    0.000    0.056    0.003 backend_qt5.py:436(__init__)
    35049    0.045    0.000    0.056    0.000 UserDict.py:4(__init__)
     2204    0.011    0.000    0.056    0.000 backend_agg.py:268(_get_agg_font)
     5986    0.006    0.000    0.056    0.000 artist.py:182(convert_xunits)
        2    0.000    0.000    0.055    0.028 mathtext.py:679(__init__)
        1    0.012    0.012    0.055    0.055 rcsetup.py:15(<module>)
       18    0.000    0.000    0.055    0.003 _base.py:1697(add_line)
       36    0.050    0.001    0.055    0.002 backend_agg.py:85(__init__)
     1328    0.046    0.000    0.055    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1714    0.008    0.000    0.054    0.000 transforms.py:2626(__init__)
      288    0.007    0.000    0.053    0.000 posixpath.py:355(realpath)
        3    0.000    0.000    0.053    0.018 machar.py:98(__init__)
        3    0.014    0.005    0.053    0.018 machar.py:116(_do_init)
      285    0.001    0.000    0.053    0.000 pkg_resources.py:1892(normalize_path)
     5454    0.004    0.000    0.053    0.000 astronomy.py:118(_local_hour_angle)
  122/114    0.001    0.000    0.051    0.000 pyparsing.py:2729(parseImpl)
      144    0.009    0.000    0.051    0.000 transforms.py:722(union)
     1348    0.007    0.000    0.050    0.000 transforms.py:837(from_extents)
        1    0.009    0.009    0.050    0.050 textpath.py:3(<module>)
        1    0.013    0.013    0.050    0.050 inspect.py:25(<module>)
   972/22    0.002    0.000    0.050    0.002 pyparsing.py:2622(parseImpl)
    17324    0.023    0.000    0.050    0.000 artist.py:314(pchanged)
     2940    0.014    0.000    0.050    0.000 fromnumeric.py:2175(amax)
  210/178    0.001    0.000    0.049    0.000 pyparsing.py:776(wrapper)
     5454    0.005    0.000    0.049    0.000 astronomy.py:76(_lmst)
    31390    0.023    0.000    0.049    0.000 core.py:5960(isMaskedArray)
        1    0.018    0.018    0.048    0.048 __init__.py:205(<module>)
        2    0.000    0.000    0.048    0.024 mathtext.py:2358(parse)
     2010    0.009    0.000    0.048    0.000 transforms.py:2663(__init__)
    10085    0.048    0.000    0.048    0.000 {numpy.core.multiarray.zeros}
     7162    0.014    0.000    0.048    0.000 artist.py:72(_stale_axes_callback)
     4212    0.031    0.000    0.047    0.000 collections.py:111(items)
     1204    0.002    0.000    0.047    0.000 transforms.py:827(from_bounds)
        1    0.020    0.020    0.047    0.047 collections.py:1(<module>)
       18    0.000    0.000    0.046    0.003 _base.py:1726(_update_line_limits)
      700    0.001    0.000    0.046    0.000 transforms.py:2705(get_transformed_path_and_affine)
     4560    0.004    0.000    0.046    0.000 _methods.py:25(_amax)
      734    0.045    0.000    0.045    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
        1    0.011    0.011    0.045    0.045 eval.py:4(<module>)
     1824    0.014    0.000    0.045    0.000 font_manager.py:816(set_family)
     1150    0.003    0.000    0.044    0.000 transforms.py:1905(rotate_deg)
   132/30    0.003    0.000    0.044    0.001 pyparsing.py:2478(parseImpl)
        1    0.014    0.014    0.044    0.044 tempfile.py:18(<module>)
        1    0.036    0.036    0.043    0.043 Image.py:27(<module>)
   183124    0.043    0.000    0.043    0.000 pyparsing.py:3240(<lambda>)
        1    0.014    0.014    0.043    0.043 internals.py:1(<module>)
       22    0.000    0.000    0.043    0.002 __init__.py:1086(rc_params_from_file)
        1    0.012    0.012    0.043    0.043 contour.py:4(<module>)
14910/11200    0.009    0.000    0.042    0.000 {hash}
     20/6    0.000    0.000    0.042    0.007 pyparsing.py:2764(parseImpl)
     1150    0.017    0.000    0.042    0.000 transforms.py:1888(rotate)
        4    0.000    0.000    0.042    0.010 mathtext.py:2437(math_string)
        1    0.000    0.000    0.042    0.042 core.py:1(<module>)
        1    0.009    0.009    0.042    0.042 widgets.py:10(<module>)
      108    0.000    0.000    0.041    0.000 axis.py:1435(convert_units)
       90    0.001    0.000    0.041    0.000 converter.py:159(convert)
     1328    0.002    0.000    0.040    0.000 markers.py:260(get_transform)
       70    0.033    0.000    0.040    0.001 collections.py:237(namedtuple)
2988/1656    0.007    0.000    0.040    0.000 transforms.py:2300(_invalidate_internal)
      450    0.001    0.000    0.039    0.000 axis.py:342(_get_text2_transform)
    12357    0.031    0.000    0.039    0.000 cbook.py:687(iterable)
    17654    0.039    0.000    0.039    0.000 {numpy.core.multiarray.empty}
      450    0.003    0.000    0.038    0.000 _base.py:683(get_xaxis_text2_transform)
        1    0.004    0.004    0.038    0.038 artist.py:1(<module>)
        1    0.003    0.003    0.038    0.038 reshape.py:3(<module>)
     1400    0.008    0.000    0.038    0.000 text.py:895(get_prop_tup)
        1    0.025    0.025    0.038    0.038 frequencies.py:1(<module>)
      450    0.001    0.000    0.037    0.000 axis.py:339(_get_text1_transform)
        1    0.000    0.000    0.037    0.037 core.py:132(load_base_library)
        1    0.000    0.000    0.037    0.037 core.py:164(read_style_directory)
       22    0.004    0.000    0.037    0.002 __init__.py:1010(_rc_params_in_file)
     3720    0.020    0.000    0.037    0.000 font_manager.py:702(__hash__)
